Subject,Start Date,Start Time,End Date,End Time,Stamp,Category,UID
Taranaki Anniversary,2023-03-13,00:00,2023-03-14,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-V2m54daayLI5eaAJ@sohnemann.github.com
Otago Anniversary,2023-03-20,00:00,2023-03-21,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-gupGLgAFVvY57uyr@sohnemann.github.com
Southland Anniversary,2023-04-11,00:00,2023-04-12,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-dmPRrurMDGXSulnc@sohnemann.github.com
South Canterbury Anniversary,2023-09-25,00:00,2023-09-26,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-EEY326lb17czt30M@sohnemann.github.com
Hawke's Bay Anniversary,2023-10-20,00:00,2023-10-21,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-ocFu4b4OIufNiTnM@sohnemann.github.com
Marlborough Anniversary,2023-10-30,00:00,2023-10-31,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-XFn9bt6wHZWZ2O6c@sohnemann.github.com
Canterbury Anniversary,2023-11-17,00:00,2023-11-18,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-bOd99fMdzdP9mso1@sohnemann.github.com
Chatham Islands Anniversary,2023-11-27,00:00,2023-11-28,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-TSr3rRkMhdRK3Il1@sohnemann.github.com
Westland Anniversary,2023-12-04,00:00,2023-12-05,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-FecsTTtdFX4xqwXI@sohnemann.github.com
New Year's Day,2024-01-01,00:00,2024-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-LbtRW0qYZY81sYUa@sohnemann.github.com
Day after New Year's Day,2024-01-02,00:00,2024-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-F8rTTkwu9cOHRUY4@sohnemann.github.com
Waitangi Day,2024-02-06,00:00,2024-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-Jhndct6F42PT5S8i@sohnemann.github.com
Good Friday,2024-03-29,00:00,2024-03-30,00:00,20220129T042448Z,EASTER,20240813T112838-xBeHzqRoXBYJVQ80@sohnemann.github.com
Easter Monday,2024-04-01,00:00,2024-04-02,00:00,20220129T042448Z,EASTER,20240813T112838-6tCIUfUdnlLuI699@sohnemann.github.com
Anzac Day,2024-04-25,00:00,2024-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-bA6WUL6v4D1Vr5yt@sohnemann.github.com
King's Birthday,2024-06-03,00:00,2024-06-04,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-YtKaX5OL4mqWqzKK@sohnemann.github.com
Matariki,2024-06-28,00:00,2024-06-29,00:00,20220129T042448Z,MATARIKI,20240813T112838-r3tAsQC1g26M20B0@sohnemann.github.com
Labour Day,2024-10-28,00:00,2024-10-29,00:00,20220129T042448Z,LABOURDAY,20240813T112838-BXppJeyFBtEmgfbR@sohnemann.github.com
Christmas Day,2024-12-25,00:00,2024-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-T4x6K8SZDROdVivD@sohnemann.github.com
Boxing Day,2024-12-26,00:00,2024-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-GacIokEZPxRmUgxr@sohnemann.github.com
Wellington Anniversary,2024-01-22,00:00,2024-01-23,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-IsXVbqIXEIYuZGoJ@sohnemann.github.com
Auckland Anniversary,2024-01-29,00:00,2024-01-30,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-KeYlgH2RftUeOeCR@sohnemann.github.com
Nelson Anniversary,2024-01-29,00:00,2024-01-30,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-VVquxmzESWWmD2V7@sohnemann.github.com
Taranaki Anniversary,2024-03-11,00:00,2024-03-12,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-uonFjYimFOudhmjW@sohnemann.github.com
Otago Anniversary,2024-03-25,00:00,2024-03-26,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-H1TdHwB8JlytzNBb@sohnemann.github.com
Southland Anniversary,2024-04-02,00:00,2024-04-03,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-QnZ642X3UbPJZh15@sohnemann.github.com
South Canterbury Anniversary,2024-09-23,00:00,2024-09-24,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-0CUw5HuNp6ZMlU52@sohnemann.github.com
Hawke's Bay Anniversary,2024-10-25,00:00,2024-10-26,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-licNVHEQ3LVGNGBE@sohnemann.github.com
Marlborough Anniversary,2024-11-04,00:00,2024-11-05,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-NTLYSHJeYRp3Eacu@sohnemann.github.com
Canterbury Anniversary,2024-11-15,00:00,2024-11-16,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-QdEFx12VwOXMP7vL@sohnemann.github.com
Westland Anniversary,2024-12-02,00:00,2024-12-03,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-ZxCN0WtvSxHYy3bR@sohnemann.github.com
Chatham Islands Anniversary,2024-12-02,00:00,2024-12-03,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-Y5pf3QoPpLX4nYSu@sohnemann.github.com
New Year's Day,2025-01-01,00:00,2025-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-kMnnLRsvEDxrBAgt@sohnemann.github.com
Day after New Year's Day,2025-01-02,00:00,2025-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-rgRFgk03ssdoI6k4@sohnemann.github.com
Waitangi Day,2025-02-06,00:00,2025-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-sepr6W8WAf2eFDB2@sohnemann.github.com
Good Friday,2025-04-18,00:00,2025-04-19,00:00,20220129T042448Z,EASTER,20240813T112838-Y5EXfJeT5zhvN53I@sohnemann.github.com
Easter Monday,2025-04-21,00:00,2025-04-22,00:00,20220129T042448Z,EASTER,20240813T112838-MSr2FNK5N8DHoXrH@sohnemann.github.com
Anzac Day,2025-04-25,00:00,2025-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-cp4FoZYn6bdg91rW@sohnemann.github.com
King's Birthday,2025-06-02,00:00,2025-06-03,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-ou6lISU1KhC4qo8n@sohnemann.github.com
Matariki,2025-06-20,00:00,2025-06-21,00:00,20220129T042448Z,MATARIKI,20240813T112838-xLC4fSst3ssb9IXJ@sohnemann.github.com
Labour Day,2025-10-27,00:00,2025-10-28,00:00,20220129T042448Z,LABOURDAY,20240813T112838-bsg0FmaCxFmVAOGH@sohnemann.github.com
Christmas Day,2025-12-25,00:00,2025-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-2Xpwrzbz4hFUb0ht@sohnemann.github.com
Boxing Day,2025-12-26,00:00,2025-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-vHTbnPGDGRP2I1Ix@sohnemann.github.com
Wellington Anniversary,2025-01-20,00:00,2025-01-21,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-rGGbln5P3F6Z5liF@sohnemann.github.com
Auckland Anniversary,2025-01-27,00:00,2025-01-28,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-gYYCsEfE6a0nbsRX@sohnemann.github.com
Nelson Anniversary,2025-02-03,00:00,2025-02-04,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-A7M8OygoC5ShR4QS@sohnemann.github.com
Taranaki Anniversary,2025-03-10,00:00,2025-03-11,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-V9W4hsU17r24eA45@sohnemann.github.com
Otago Anniversary,2025-03-24,00:00,2025-03-25,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-k4mNIADcAwJp6doU@sohnemann.github.com
Southland Anniversary,2025-04-22,00:00,2025-04-23,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-i1KK6vBzCy2z2QtL@sohnemann.github.com
South Canterbury Anniversary,2025-09-22,00:00,2025-09-23,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-cDZygsip8KIADcuK@sohnemann.github.com
Hawke's Bay Anniversary,2025-10-24,00:00,2025-10-25,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-aEUMI1ykrKJWTYEh@sohnemann.github.com
Marlborough Anniversary,2025-11-03,00:00,2025-11-04,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-nsLnvlAYocMs6CbE@sohnemann.github.com
Canterbury Anniversary,2025-11-14,00:00,2025-11-15,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-nhjt5wbZQsq64YBw@sohnemann.github.com
Westland Anniversary,2025-12-01,00:00,2025-12-02,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-9nlkwUUk9qNTQD5w@sohnemann.github.com
Chatham Islands Anniversary,2025-12-01,00:00,2025-12-02,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-MF3W0LW1cqI9RTM9@sohnemann.github.com
New Year's Day,2026-01-01,00:00,2026-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-F4TU34I0s1txcUbO@sohnemann.github.com
Day after New Year's Day,2026-01-02,00:00,2026-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-Maz5QThThXGtxSGV@sohnemann.github.com
Waitangi Day,2026-02-06,00:00,2026-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-mOBkAkCWVemffZmK@sohnemann.github.com
Good Friday,2026-04-03,00:00,2026-04-04,00:00,20220129T042448Z,EASTER,20240813T112838-6XaRksUsOEC4ibtS@sohnemann.github.com
Easter Monday,2026-04-06,00:00,2026-04-07,00:00,20220129T042448Z,EASTER,20240813T112838-ZEsfRCinyt4EJUzM@sohnemann.github.com
Anzac Day,2026-04-25,00:00,2026-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-X2IgkHn5gK99fzl9@sohnemann.github.com
Anzac Day (Mondayised),2026-04-27,00:00,2026-04-28,00:00,20220129T042448Z,ANZACDAY,20240813T112838-YPqCp07K7sVDlb9L@sohnemann.github.com
King's Birthday,2026-06-01,00:00,2026-06-02,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-h4Eq8ofeYjJFtZ29@sohnemann.github.com
Matariki,2026-07-10,00:00,2026-07-11,00:00,20220129T042448Z,MATARIKI,20240813T112838-PIc2o4J0DxEZcmAl@sohnemann.github.com
Labour Day,2026-10-26,00:00,2026-10-27,00:00,20220129T042448Z,LABOURDAY,20240813T112838-5PllAYuqmJp0qjUu@sohnemann.github.com
Christmas Day,2026-12-25,00:00,2026-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-FzL6P6P2pD0JaHnj@sohnemann.github.com
Boxing Day,2026-12-26,00:00,2026-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-bCrs1PAoqyeQCBZm@sohnemann.github.com
Boxing Day (Mondayised),2026-12-28,00:00,2026-12-29,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-jVCGjz3uT9rv7Nul@sohnemann.github.com
Wellington Anniversary,2026-01-19,00:00,2026-01-20,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-rpZcHacNyo2vChP2@sohnemann.github.com
Auckland Anniversary,2026-01-26,00:00,2026-01-27,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-bvYiLQZnjlGKlpmh@sohnemann.github.com
Nelson Anniversary,2026-02-02,00:00,2026-02-03,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-Ht4SWOQS4Xb1GhW4@sohnemann.github.com
Taranaki Anniversary,2026-03-09,00:00,2026-03-10,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-V7Jl3E5JX9BtOuDR@sohnemann.github.com
Otago Anniversary,2026-03-23,00:00,2026-03-24,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-qPtFqZpKktorBA49@sohnemann.github.com
Southland Anniversary,2026-04-07,00:00,2026-04-08,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-SmrN8BzK83xtbHXw@sohnemann.github.com
South Canterbury Anniversary,2026-09-28,00:00,2026-09-29,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-BMTswBbgsUyXb5Q8@sohnemann.github.com
Hawke's Bay Anniversary,2026-10-23,00:00,2026-10-24,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-2SWcCyO2s1sDv1xR@sohnemann.github.com
Marlborough Anniversary,2026-11-02,00:00,2026-11-03,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-2BCkZwSY7OPBPSAO@sohnemann.github.com
Canterbury Anniversary,2026-11-13,00:00,2026-11-14,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-mAH8yLl4xpwacwMN@sohnemann.github.com
Westland Anniversary,2026-11-30,00:00,2026-12-01,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-dJq4uGbIUMgejVSK@sohnemann.github.com
Chatham Islands Anniversary,2026-11-30,00:00,2026-12-01,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-oLSZ8NCtSD2K0HXB@sohnemann.github.com
New Year's Day,2027-01-01,00:00,2027-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-M16VSonbkNmiqw7M@sohnemann.github.com
Day after New Year's Day,2027-01-02,00:00,2027-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-vJVF9I5RET76wQQg@sohnemann.github.com
Day after New Year's Day (Mondayised),2027-01-04,00:00,2027-01-05,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-gccKuhZhb6Bt8uwx@sohnemann.github.com
Waitangi Day,2027-02-06,00:00,2027-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-1KMSHcowz4kqG0PF@sohnemann.github.com
Waitangi Day (Mondayised),2027-02-08,00:00,2027-02-09,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-vnthpqoWoQK21dXx@sohnemann.github.com
Good Friday,2027-03-26,00:00,2027-03-27,00:00,20220129T042448Z,EASTER,20240813T112838-6XMeQs53n7BT4JXk@sohnemann.github.com
Easter Monday,2027-03-29,00:00,2027-03-30,00:00,20220129T042448Z,EASTER,20240813T112838-JmCd2DQ5zzrdOA0s@sohnemann.github.com
Anzac Day,2027-04-25,00:00,2027-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-s6JwFR8Pwn7FcI9t@sohnemann.github.com
Anzac Day (Mondayised),2027-04-26,00:00,2027-04-27,00:00,20220129T042448Z,ANZACDAY,20240813T112838-ti60MfZGJcAtWwrb@sohnemann.github.com
King's Birthday,2027-06-07,00:00,2027-06-08,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-cvgSz2ERQhwcWJxq@sohnemann.github.com
Matariki,2027-06-25,00:00,2027-06-26,00:00,20220129T042448Z,MATARIKI,20240813T112838-Luj7drT6zSBg3DlG@sohnemann.github.com
Labour Day,2027-10-25,00:00,2027-10-26,00:00,20220129T042448Z,LABOURDAY,20240813T112838-cuyZtv00JQihuGlB@sohnemann.github.com
Christmas Day,2027-12-25,00:00,2027-12-26,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-feuIyfLX7GS4glkC@sohnemann.github.com
Christmas Day (Mondayised),2027-12-27,00:00,2027-12-28,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-EgMKZ9WjnJXFM1k3@sohnemann.github.com
Boxing Day,2027-12-26,00:00,2027-12-27,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-z9l1TObpWQeHqfhI@sohnemann.github.com
Boxing Day (Mondayised),2027-12-28,00:00,2027-12-29,00:00,20220129T042448Z,CHRISTMAS,20240813T112838-KYR7itnZOHuLu3Yl@sohnemann.github.com
Wellington Anniversary,2027-01-25,00:00,2027-01-26,00:00,20220129T042448Z,WELLINGTONANNIVERSARY,20240813T112838-c8avlLsJykCls0Id@sohnemann.github.com
Auckland Anniversary,2027-02-01,00:00,2027-02-02,00:00,20220129T042448Z,AUCKLANDANNIVERSARY,20240813T112838-1sFKwetsZtupUqmN@sohnemann.github.com
Nelson Anniversary,2027-02-01,00:00,2027-02-02,00:00,20220129T042448Z,NELSONANNIVERSARY,20240813T112838-0aQSoUDnec6I1GrS@sohnemann.github.com
Taranaki Anniversary,2027-03-08,00:00,2027-03-09,00:00,20220129T042448Z,TARANAKIANNIVERSARY,20240813T112838-mdcjH5oGvlxBo9QA@sohnemann.github.com
Otago Anniversary,2027-03-22,00:00,2027-03-23,00:00,20220129T042448Z,OTAGOANNIVERSARY,20240813T112838-z0IpVj1cHm10cvWT@sohnemann.github.com
Southland Anniversary,2027-03-30,00:00,2027-03-31,00:00,20220129T042448Z,SOUTHLANDANNIVERSARY,20240813T112838-tlPzcJBo0oV5MdtM@sohnemann.github.com
South Canterbury Anniversary,2027-09-27,00:00,2027-09-28,00:00,20220129T042448Z,SOUTHCANTERBURYANNIVERSARY,20240813T112838-vggwGKypDwdyahNV@sohnemann.github.com
Hawke's Bay Anniversary,2027-10-22,00:00,2027-10-23,00:00,20220129T042448Z,HAWKESBAYANNIVERSARY,20240813T112838-iAics93GU0uY5cnw@sohnemann.github.com
Marlborough Anniversary,2027-11-01,00:00,2027-11-02,00:00,20220129T042448Z,MARLBOROUGHANNIVERSARY,20240813T112838-33GbJnFr3qo4zKCl@sohnemann.github.com
Canterbury Anniversary,2027-11-12,00:00,2027-11-13,00:00,20220129T042448Z,CANTERBURYANNIVERSARY,20240813T112838-Psbm7jgRzCPBbxQa@sohnemann.github.com
Westland Anniversary,2027-11-29,00:00,2027-11-30,00:00,20220129T042448Z,WESTLANDANNIVERSARY,20240813T112838-ixy2qsF6OKBwnLmh@sohnemann.github.com
Chatham Islands Anniversary,2027-11-29,00:00,2027-11-30,00:00,20220129T042448Z,CHATHAMISLANDSANNIVERSARY,20240813T112838-XsMvuzpcvqZXaRnv@sohnemann.github.com
New Year's Day,2028-01-01,00:00,2028-01-02,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-69Ms4Gq2y7M98k9V@sohnemann.github.com
New Year's Day (Mondayised),2028-01-03,00:00,2028-01-04,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-EaMYICQjEOjLT81a@sohnemann.github.com
Day after New Year's Day,2028-01-02,00:00,2028-01-03,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-kdF9mwhb8lbIFEcy@sohnemann.github.com
Day after New Year's Day (Tuesdayised),2028-01-04,00:00,2028-01-05,00:00,20220129T042448Z,NEWYEARSDAY,20240813T112838-zsWRej4ISF6sQZIE@sohnemann.github.com
Waitangi Day,2028-02-06,00:00,2028-02-07,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-4Nt2WHQVxvC2kdQG@sohnemann.github.com
Waitangi Day (Mondayised),2028-02-07,00:00,2028-02-08,00:00,20220129T042448Z,WAITANGIDAY,20240813T112838-SwJl3JiWedz9ATBs@sohnemann.github.com
Good Friday,2028-04-14,00:00,2028-04-15,00:00,20220129T042448Z,EASTER,20240813T112838-8CcWowXFtdrMI8Tf@sohnemann.github.com
Easter Monday,2028-04-17,00:00,2028-04-18,00:00,20220129T042448Z,EASTER,20240813T112838-G2iOURn4goUOOmHn@sohnemann.github.com
Anzac Day,2028-04-25,00:00,2028-04-26,00:00,20220129T042448Z,ANZACDAY,20240813T112838-wWaFnzMGerxSIoLr@sohnemann.github.com
King's Birthday,2028-06-05,00:00,2028-06-06,00:00,20220129T042448Z,SOVEREIGNSBIRTHDAY,20240813T112838-EqJpWCPUs5Bqk1An@sohnemann.github.com
